ville,abbr,pays,latitude,longitude,timestamp_utc,date_utc,heure_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Paris,PAR,FR,48.8566,2.3522,2025-08-07T10:00:00Z,2025-08-07,10:00,2,114.14,0.3,1.2,88.62,0.28,3.55,5.61,3.68
Paris,PAR,FR,48.8566,2.3522,2025-08-07T11:00:00Z,2025-08-07,11:00,2,112.19,0.14,0.66,97.68,0.25,3.65,5.71,3.21
Paris,PAR,FR,48.8566,2.3522,2025-08-07T12:00:00Z,2025-08-07,12:00,2,110.61,0.12,0.58,99.86,0.24,3.81,5.84,3.16
Paris,PAR,FR,48.8566,2.3522,2025-08-07T13:00:00Z,2025-08-07,13:00,3,109.85,0.11,0.54,104.68,0.21,3.74,5.63,2.93
Paris,PAR,FR,48.8566,2.3522,2025-08-07T14:00:00Z,2025-08-07,14:00,3,107.63,0.1,0.53,108.45,0.17,3.43,5.08,2.58
Paris,PAR,FR,48.8566,2.3522,2025-08-07T15:00:00Z,2025-08-07,15:00,3,106.65,0.11,0.6,110.32,0.15,3.31,4.81,2.49
Paris,PAR,FR,48.8566,2.3522,2025-08-07T16:00:00Z,2025-08-07,16:00,3,107.06,0.14,0.88,110.58,0.14,3.32,4.77,2.64
Paris,PAR,FR,48.8566,2.3522,2025-08-07T17:00:00Z,2025-08-07,17:00,3,106.85,0.17,1.27,107.12,0.14,3.4,4.86,3.05
Paris,PAR,FR,48.8566,2.3522,2025-08-07T18:00:00Z,2025-08-07,18:00,3,106.64,0.13,1.6,103.29,0.15,3.43,4.91,3.47
Paris,PAR,FR,48.8566,2.3522,2025-08-07T19:00:00Z,2025-08-07,19:00,2,107.12,0.05,2.55,90.84,0.16,3.51,5.05,4.58
Paris,PAR,FR,48.8566,2.3522,2025-08-07T20:00:00Z,2025-08-07,20:00,2,108.73,0.0,3.66,74.52,0.19,3.67,5.33,6.05
Paris,PAR,FR,48.8566,2.3522,2025-08-07T21:00:00Z,2025-08-07,21:00,2,110.27,0.0,4.53,62.56,0.19,3.83,5.59,7.31
Paris,PAR,FR,48.8566,2.3522,2025-08-07T22:00:00Z,2025-08-07,22:00,1,108.6,0.0,4.88,53.46,0.16,3.87,5.67,8.36
